Judge;Sound;Rank;Innovation;Originality;Sobriety;Proximity;Fun;Premium;Simplicity;Freedom;Human;Technology;Conviviality;Complexity;Popular;Serious;International;Passion;Artisanal;Traditional;Performance;Joyful;Surprising;Exciting;Energetic;Sensual;Sad;Warm;Serious;Adequation;Why;Tempo;Pitch;Instrument
8;V_80_1;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;r_ne;ne;r_ne;r_ne;r_ne;r_t;r_ne;r_t;0;mortuary music;80;1;Violon
8;V_120_5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ne;JAR;ne;JAR;ne;JAR;ne;JAR;4;lacks originality, lacks a nice sound, too high-pitched;120;5;Violon
8;P_120_5;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;ne;ne;ne;ne;JAR;t;r_ne;r_t;5;a little too classic for an innovation brand;120;5;Piano
8;P_160_1;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;ne;ne;ne;JAR;ne;t;ne;t;4;too serious to make young or independent;160;1;Piano
8;V_80_3;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;ne;r_ne;r_ne;r_ne;r_ne;r_t;ne;r_t;2;very ceremonial, does not make sound logo at all;80;3;Violon
8;P_160_3;8;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;JAR;JAR;JAR;JAR;ne;JAR;JAR;t;8;not completely innovative but classy rhythm, reflects the technology well;160;3;Piano
8;P_160_5;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JAR;ne;ne;JAR;r_ne;JAR;r_ne;t;6;cold, not warm;160;5;Piano
8;A_120_5;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ne;r_t;ne;JAR;r_ne;JAR;ne;t;3;hurts the ears, bad image of technology, surprising in the wrong way;120;5;Accordion
8;P_80_1;11;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;r_ne;r_ne;r_ne;r_ne;r_ne;t;r_ne;t;1;very pompous, classic, not innovative, not user-friendly;80;1;Piano
8;P_120_1;12;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;r_ne;r_ne;r_ne;ne;r_ne;r_t;r_ne;r_t;1;not innovative;120;1;Piano
9;P_80_5;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;ne;ne;ne;ne;t;JAR;JAR;JAR;5;;80;5;Piano
9;P_120_5;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ne;ne;ne;ne;JAR;JAR;JAR;JAR;5;;120;5;Piano
9;P_160_3;3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;JAR;JAR;ne;JAR;JAR;JAR;t;JAR;6;;160;3;Piano
9;P_160_1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;JAR;JAR;JAR;JAR;JAR;t;JAR;t;6;;160;1;Piano
9;P_80_3;5;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;JAR;JAR;ne;ne;JAR;t;JAR;JAR;5;;80;3;Piano
9;A_80_1;6;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;ne;r_t;ne;ne;JAR;t;JAR;ne;2;;80;1;Accordion
9;V_120_1;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;JAR;JAR;JAR;JAR;JAR;JAR;JAR;t;7;;120;1;Violon
9;V_80_5;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JAR;t;ne;ne;JAR;JAR;JAR;JAR;4;;80;5;Violon
9;V_160_3;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;JAR;JAR;JAR;JAR;JAR;JAR;JAR;JAR;8;;160;3;Violon
9;A_160_3;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;t;r_t;ne;JAR;JAR;JAR;t;ne;3;;160;3;Accordion
9;A_160_1;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;t;r_t;ne;JAR;JAR;JAR;t;ne;2;;160;1;Accordion
9;A_160_5;12;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;JAR;t;JAR;JAR;JAR;JAR;JAR;ne;4;too strident;160;5;Accordion
10;P_120_5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;ne;JAR;JAR;ne;JAR;ne;r_ne;JAR;8;;120;5;Piano
10;P_80_5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;r_ne;ne;JAR;ne;ne;t;ne;r_ne;5;;80;5;Piano
10;A_120_5;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;r_t;t;ne;t;r_ne;JAR;ne;JAR;3;;120;5;Accordion
10;A_80_3;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;JAR;ne;ne;r_ne;r_t;JAR;JAR;JAR;8;;80;3;Accordion
10;A_160_5;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;JAR;JAR;JAR;JAR;ne;JAR;ne;JAR;9;;160;5;Accordion
10;P_120_3;6;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;JAR;JAR;ne;ne;ne;JAR;JAR;JAR;7;;120;3;Piano
10;V_120_5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;JAR;ne;JAR;ne;r_ne;t;ne;t;3;;120;5;Violon
10;V_80_5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;r_ne;r_ne;ne;r_ne;JAR;JAR;ne;JAR;7;;80;5;Violon
10;V_160_1;9;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;JAR;JAR;JAR;JAR;JAR;JAR;JAR;t;10;;160;1;Violon
10;A_80_1;10;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;JAR;r_ne;r_ne;ne;r_ne;t;JAR;JAR;2;;80;1;Accordion
10;V_80_1;11;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;JAR;JAR;JAR;ne;JAR;JAR;JAR;t;9;;80;1;Violon
10;V_160_3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;JAR;JAR;JAR;JAR;ne;JAR;JAR;JAR;9;;160;3;Violon
11;V_80_5;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;ne;JAR;r_ne;ne;ne;t;r_ne;JAR;7;highly electric sound, synonymous with technology and innovation;80;5;Violon
11;P_80_5;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;JAR;ne;ne;ne;ne;t;JAR;JAR;5;classic sound, synonymous with precision but not really innovative;80;5;Piano
11;V_80_3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;r_ne;t;ne;JAR;r_ne;t;r_ne;JAR;3;energetic music but too sad, it looks like in a church;80;3;Violon
