ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
47;I;je n'aime pas;n' aime pas matiere car parait rugueuse;0;47_I;47_je n'aime pas
47;J;j'aime un peu;n' aime peu matiere car semble pratique l' habitacle vehicule assez elastique donc donnera certain confort;7;47_J;47_j'aime un peu
48;A;je n'aime pas;peu matiere sans relief;1;48_A;48_je n'aime pas
48;B;je n'aime pas;trop epais;1;48_B;48_je n'aime pas
48;C;je n'aime pas;fade;1;48_C;48_je n'aime pas
48;D;je n'aime pas;rugueux;1;48_D;48_je n'aime pas
48;E;j'aime beaucoup;doux;10;48_E;48_j'aime beaucoup
48;F;je n'aime pas;sans expression;1;48_F;48_je n'aime pas
48;G;je n'aime pas;trop mousse;2;48_G;48_je n'aime pas
48;H;j'aime un peu;attrape poussiere;2;48_H;48_j'aime un peu
48;I;je n'aime pas;moche;1;48_I;48_je n'aime pas
48;J;j'aime beaucoup;raffine;10;48_J;48_j'aime beaucoup
49;A;je n'aime pas;bas gamme;2;49_A;49_je n'aime pas
49;B;je n'aime pas;epais;6;49_B;49_je n'aime pas
49;C;j'aime un peu;touche;5;49_C;49_j'aime un peu
49;D;je n'aime pas;moquette;3;49_D;49_je n'aime pas
49;E;je n'aime pas;vieux coussin;2;49_E;49_je n'aime pas
49;F;j'aime un peu;texture;5;49_F;49_j'aime un peu
49;G;je n'aime pas;mauvaise qualite;2;49_G;49_je n'aime pas
49;H;je n'aime pas;fin;3;49_H;49_je n'aime pas
49;I;je n'aime pas;ancien;3;49_I;49_je n'aime pas
49;J;j'aime un peu;elegance;3;49_J;49_j'aime un peu
50;A;j'aime un peu;j' aime peu car simple efficace;6;50_A;50_j'aime un peu
50;B;je n'aime pas;n' aime pas produit car trop dense;2;50_B;50_je n'aime pas
50;C;j'aime un peu;simple efficace;6;50_C;50_j'aime un peu
50;D;je n'aime pas;n' aime pas toucher tout simplement;2;50_D;50_je n'aime pas
50;E;j'aime un peu;j' aime peu car doux;6;50_E;50_j'aime un peu
50;F;j'aime beaucoup;j' aime beaucoup car esthetique efficace beaucoup points;9;50_F;50_j'aime beaucoup
50;G;j'aime un peu;j' aime peu car plutot epais mais pas trop quand meme;6;50_G;50_j'aime un peu
50;H;j'aime un peu;agrippe bien a main;6;50_H;50_j'aime un peu
50;I;je n'aime pas;n' aime pas car trop rugueux;2;50_I;50_je n'aime pas
50;J;j'aime beaucoup;j' aime beaucoup car si devrais choisir nouvelle voiture probable prenne tissu meme type;10;50_J;50_j'aime beaucoup
51;A;j'aime un peu;agreable touche mais peu trop fin;6;51_A;51_j'aime un peu
51;B;je n'aime pas;tissu trop rugueux;0;51_B;51_je n'aime pas
51;C;j'aime un peu;agreable touche mais peu trop classique;7;51_C;51_j'aime un peu
51;D;je n'aime pas;j' l' impression c' tapis;0;51_D;51_je n'aime pas
51;E;je n'aime pas;doux sens mais rugueux l' autre;2;51_E;51_je n'aime pas
51;F;j'aime un peu;agreable mais classique;7;51_F;51_j'aime un peu
